               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12715,              0.1266,            0.059486,            0.010719,            0.034166,           0.0069449,            0.001624,             0.11813,             0.11898,            0.054623,            0.070566,           0.0032704,           0.0032704
                   1,             0.10936,             0.14598,            0.050194,             0.29049,             0.13494,             0.02631,           0.0079281,            0.098908,             0.15709,              0.0465,            0.040435,            0.006473,            0.006473
                   2,            0.097767,             0.16099,            0.045943,             0.46808,             0.13598,            0.061243,            0.021634,             0.08899,             0.12878,            0.044157,            0.010173,           0.0095436,           0.0095436
                   3,            0.094907,             0.16677,            0.044756,             0.45717,             0.18263,            0.061775,             0.02257,            0.090198,             0.13033,            0.042822,            0.009406,            0.009406,            0.009406
                   4,            0.090551,             0.16739,            0.043965,              0.4858,             0.18612,            0.083145,            0.031634,            0.084529,             0.12812,            0.042226,            0.009406,            0.009406,            0.009406
                   5,            0.088387,             0.16615,            0.043671,             0.48941,             0.15807,            0.088837,            0.032424,            0.085878,             0.12819,            0.041971,            0.009208,            0.009208,            0.009208
                   6,            0.086472,             0.16641,            0.042872,             0.50602,              0.1861,             0.10694,            0.043898,            0.083719,             0.13036,            0.041504,             0.00901,             0.00901,             0.00901
                   7,            0.085199,             0.16902,            0.042506,             0.52669,             0.22936,              0.1423,            0.061195,            0.078051,             0.12801,            0.040691,            0.008812,            0.008812,            0.008812
                   8,            0.083692,             0.16455,             0.04219,             0.53326,              0.2326,             0.15167,            0.067267,            0.078945,             0.12761,            0.040259,            0.008614,            0.008614,            0.008614
                   9,            0.083117,             0.16517,            0.041806,             0.51973,              0.2356,              0.1605,            0.071577,            0.077971,             0.12738,            0.040072,            0.008416,            0.008416,            0.008416
                  10,            0.082054,             0.16303,            0.041414,             0.52044,               0.243,             0.17254,            0.076273,            0.076793,             0.12783,            0.039868,            0.008218,            0.008218,            0.008218
                  11,            0.081484,             0.16537,            0.041373,             0.53792,             0.24143,             0.17027,            0.075487,            0.076856,             0.12982,            0.039629,             0.00802,             0.00802,             0.00802
                  12,            0.081532,             0.16708,             0.04116,             0.49745,             0.22395,             0.16613,            0.073956,            0.078032,             0.12995,            0.039901,            0.007822,            0.007822,            0.007822
                  13,            0.079417,             0.16459,            0.040498,             0.49768,             0.26977,             0.20141,            0.095928,            0.074826,             0.12667,             0.03902,            0.007624,            0.007624,            0.007624
                  14,            0.079813,             0.16827,            0.040316,              0.4852,             0.27698,               0.198,            0.092198,            0.075094,             0.12709,            0.038882,            0.007426,            0.007426,            0.007426
                  15,            0.078589,             0.16151,            0.039992,             0.47924,             0.27836,             0.20431,            0.095227,            0.075239,             0.12695,            0.038612,            0.007228,            0.007228,            0.007228
                  16,            0.078642,             0.16024,            0.040301,             0.50001,             0.26418,             0.20573,            0.097898,            0.074223,              0.1271,            0.038556,             0.00703,             0.00703,             0.00703
                  17,            0.078735,             0.16436,            0.039939,             0.44547,             0.27816,             0.21091,             0.10166,            0.073837,             0.12734,             0.03857,            0.006832,            0.006832,            0.006832
                  18,            0.078554,             0.16041,            0.039511,             0.47982,             0.29425,             0.22831,             0.11232,            0.073112,              0.1278,            0.038206,            0.006634,            0.006634,            0.006634
                  19,            0.079351,             0.16553,            0.039027,             0.43101,              0.2854,             0.22176,             0.10666,            0.073584,              0.1266,            0.038076,            0.006436,            0.006436,            0.006436
                  20,            0.077464,             0.16525,            0.039276,             0.41454,             0.29915,             0.22063,             0.10754,            0.073202,             0.12797,            0.038113,            0.006238,            0.006238,            0.006238
                  21,            0.077883,             0.16342,             0.03899,             0.41005,             0.29175,             0.22756,             0.11172,            0.072896,              0.1273,            0.037904,             0.00604,             0.00604,             0.00604
                  22,            0.076606,             0.16394,            0.038817,             0.43646,             0.29818,             0.24272,             0.12246,            0.072544,             0.12658,            0.037686,            0.005842,            0.005842,            0.005842
                  23,            0.076706,             0.16145,             0.03878,             0.46332,             0.29184,             0.24337,             0.12223,            0.072362,             0.12682,            0.037844,            0.005644,            0.005644,            0.005644
