                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2251,                 2.9974,                 1.5456,                0.28693,                0.20642,                0.11832,                0.06271,                 1.8289,                   2.77,                 1.3385,             0.00027243,             0.00027243,             0.00027243
                      2,                 1.7909,                 1.9944,                  1.327,                0.36174,                0.24578,                0.17482,                0.09776,                 1.7389,                 1.9731,                 1.2997,             0.00054465,             0.00054465,             0.00054465
                      3,                 1.7182,                 1.8905,                 1.2891,                0.24299,                 0.2644,                0.19182,                 0.1096,                  1.721,                 1.8694,                 1.3166,             0.00081137,             0.00081137,             0.00081137
                      4,                 1.7019,                 1.8621,                 1.2784,                0.39315,                0.23671,                0.19996,                0.11519,                 1.6823,                 1.8948,                 1.2695,             0.00080826,             0.00080826,             0.00080826
                      5,                 1.6394,                 1.8223,                 1.2653,                0.26038,                0.28192,                0.20226,                0.11752,                 1.5957,                 1.7933,                 1.2583,             0.00080001,             0.00080001,             0.00080001
                      6,                  1.619,                 1.8195,                 1.2573,                0.39131,                 0.2789,                 0.2216,                0.12997,                 1.6051,                 1.7849,                 1.2398,             0.00079177,             0.00079177,             0.00079177
                      7,                 1.5814,                 1.7594,                 1.2331,                0.43729,                0.27347,                0.24622,                0.14743,                 1.5426,                  1.746,                 1.2161,             0.00078352,             0.00078352,             0.00078352
                      8,                 1.5403,                 1.7293,                 1.2104,                 0.4114,                0.29094,                0.23847,                0.13761,                 1.5904,                 1.7244,                 1.2341,             0.00077527,             0.00077527,             0.00077527
                      9,                 1.5223,                 1.7216,                 1.2124,                0.41748,                0.30722,                0.25244,                0.15264,                 1.5355,                 1.6726,                 1.2086,             0.00076703,             0.00076703,             0.00076703
                     10,                 1.5207,                  1.708,                 1.2072,                0.43225,                0.32504,                0.26124,                0.16099,                 1.5085,                 1.6788,                   1.21,             0.00075878,             0.00075878,             0.00075878
                     11,                  1.501,                 1.6774,                 1.1958,                0.44645,                0.31513,                0.25532,                0.15989,                  1.488,                 1.7013,                 1.2212,             0.00075053,             0.00075053,             0.00075053
                     12,                 1.4796,                 1.6611,                 1.1846,                0.43874,                0.29991,                0.25854,                0.15658,                 1.4976,                 1.6828,                 1.1991,             0.00074229,             0.00074229,             0.00074229
                     13,                 1.4478,                 1.6324,                 1.1747,                0.45258,                0.31205,                0.27114,                0.16919,                 1.4631,                 1.6707,                 1.1808,             0.00073404,             0.00073404,             0.00073404
                     14,                 1.4462,                 1.6446,                 1.1838,                0.46682,                0.29462,                0.26593,                0.16236,                 1.4853,                 1.6464,                 1.1919,             0.00072579,             0.00072579,             0.00072579
                     15,                 1.4471,                 1.6409,                 1.1786,                0.45423,                0.32511,                 0.2797,                0.17474,                 1.4592,                 1.6586,                 1.1776,             0.00071755,             0.00071755,             0.00071755
                     16,                   1.42,                 1.6039,                  1.159,                0.47468,                 0.3042,                0.28288,                0.17912,                 1.4133,                 1.5997,                 1.1663,              0.0007093,              0.0007093,              0.0007093
                     17,                 1.4223,                 1.6026,                 1.1643,                0.48495,                0.28984,                0.25829,                0.15591,                 1.5195,                 1.6731,                 1.2017,             0.00070105,             0.00070105,             0.00070105
                     18,                 1.4096,                 1.6073,                 1.1574,                0.45395,                0.31834,                0.25954,                 0.1614,                 1.4385,                 1.6337,                 1.1632,             0.00069281,             0.00069281,             0.00069281
                     19,                 1.3858,                 1.5684,                 1.1531,                0.46729,                0.31705,                0.27707,                0.17501,                 1.4477,                 1.6078,                 1.1858,             0.00068456,             0.00068456,             0.00068456
